[2024-07-09 02:43:21.928]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:43:21.979]	 Done.

[2024-07-09 02:45:13.584]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:45:13.597]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:45:13.733]	 Already installed "tmux-cpu"
[2024-07-09 02:45:13.744]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:45:13.973]	 Updating all plugins!
[2024-07-09 02:45:13.973]	 
[2024-07-09 02:45:14.383]	   "tmux-cpu" update success
[2024-07-09 02:45:14.386]	     | Already up to date.
[2024-07-09 02:45:14.396]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:45:14.444]	 Done.

[2024-07-09 02:45:29.161]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:45:29.173]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:45:29.281]	 Already installed "tmux-cpu"
[2024-07-09 02:45:29.292]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:45:29.356]	 Updating all plugins!
[2024-07-09 02:45:29.357]	 
[2024-07-09 02:45:29.762]	   "tmux-cpu" update success
[2024-07-09 02:45:29.765]	     | Already up to date.
[2024-07-09 02:45:29.776]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:45:29.827]	 Done.

[2024-07-09 02:46:40.627]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:46:40.639]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:46:40.745]	 Already installed "tmux-cpu"
[2024-07-09 02:46:40.756]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:46:41.021]	 Updating all plugins!
[2024-07-09 02:46:41.021]	 
[2024-07-09 02:46:41.401]	   "tmux-cpu" update success
[2024-07-09 02:46:41.404]	     | Already up to date.
[2024-07-09 02:46:41.415]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:46:41.467]	 Done.

[2024-07-09 02:49:45.683]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:49:45.694]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:49:45.801]	 Already installed "tmux-cpu"
[2024-07-09 02:49:45.811]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:49:45.881]	 Updating all plugins!
[2024-07-09 02:49:45.881]	 
[2024-07-09 02:49:46.227]	   "tmux-cpu" update success
[2024-07-09 02:49:46.229]	     | Already up to date.
[2024-07-09 02:49:46.240]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:49:46.288]	 Done.

[2024-07-09 02:52:13.503]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:52:13.513]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:52:13.615]	 Already installed "tmux-cpu"
[2024-07-09 02:52:13.625]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:52:13.710]	 Updating all plugins!
[2024-07-09 02:52:13.710]	 
[2024-07-09 02:52:14.062]	   "tmux-cpu" update success
[2024-07-09 02:52:14.064]	     | Already up to date.
[2024-07-09 02:52:14.074]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:52:14.121]	 Done.

[2024-07-09 02:53:54.877]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:53:54.888]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:53:55.111]	 Already installed "tmux-cpu"
[2024-07-09 02:53:55.122]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:53:55.212]	 Updating all plugins!
[2024-07-09 02:53:55.213]	 
[2024-07-09 02:53:55.643]	   "tmux-cpu" update success
[2024-07-09 02:53:55.645]	     | Already up to date.
[2024-07-09 02:53:55.656]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:53:55.715]	 Done.

[2024-07-09 02:57:12.997]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:57:13.008]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:57:13.278]	 Already installed "tmux-cpu"
[2024-07-09 02:57:13.288]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:57:13.366]	 Updating all plugins!
[2024-07-09 02:57:13.367]	 
[2024-07-09 02:57:13.674]	   "tmux-cpu" update success
[2024-07-09 02:57:13.677]	     | Already up to date.
[2024-07-09 02:57:13.687]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:57:13.734]	 Done.

[2024-07-09 03:00:33.296]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 03:00:33.308]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 03:00:33.602]	 Already installed "tmux-cpu"
[2024-07-09 03:00:33.612]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 03:00:33.691]	 Updating all plugins!
[2024-07-09 03:00:33.691]	 
[2024-07-09 03:00:34.137]	   "tmux-cpu" update success
[2024-07-09 03:00:34.139]	     | Already up to date.
[2024-07-09 03:00:34.150]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 03:00:34.201]	 Done.

[2024-07-09 03:01:40.635]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 03:01:40.645]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 03:01:40.756]	 Already installed "tmux-cpu"
[2024-07-09 03:01:40.766]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 03:01:40.831]	 Updating all plugins!
[2024-07-09 03:01:40.831]	 
[2024-07-09 03:01:41.193]	   "tmux-cpu" update success
[2024-07-09 03:01:41.195]	     | Already up to date.
[2024-07-09 03:01:41.205]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 03:01:41.252]	 Done.

[2024-07-09 03:02:16.036]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 03:02:16.046]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 03:02:16.333]	 Already installed "tmux-cpu"
[2024-07-09 03:02:16.344]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 03:02:16.424]	 Updating all plugins!
[2024-07-09 03:02:16.425]	 
[2024-07-09 03:02:16.852]	   "tmux-cpu" update success
[2024-07-09 03:02:16.855]	     | Already up to date.
[2024-07-09 03:02:16.866]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 03:02:16.921]	 Done.

[2024-07-09 03:03:51.456]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 03:03:51.466]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 03:03:51.763]	 Already installed "tmux-cpu"
[2024-07-09 03:03:51.774]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 03:03:51.856]	 Updating all plugins!
[2024-07-09 03:03:51.856]	 
[2024-07-09 03:03:52.355]	   "tmux-cpu" update success
[2024-07-09 03:03:52.358]	     | Already up to date.
[2024-07-09 03:03:52.368]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 03:03:52.416]	 Done.

[2024-07-09 16:16:06.783]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 16:16:06.795]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 16:16:06.899]	 Already installed "tmux-cpu"
[2024-07-09 16:16:06.911]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 16:16:06.976]	 Updating all plugins!
[2024-07-09 16:16:06.976]	 
[2024-07-09 16:16:07.273]	   "tmux-cpu" update success
[2024-07-09 16:16:07.275]	     | Already up to date.
